Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" The stress levels of medical workers in the fever clinic during the COVID-19 epidemic were acceptably moderate. The stress levels were associated with their worries about health of their own and their family members, the spread of the virus and changes in their work. Management focus on their sources of stress to medical workers should be helpful and worth recommending in fighting with COVID-19.",2020-04-14,11.0,244.0,22.181818181818183,29.0,The Stress and Psychological Impact of the COVID-19 Outbreak on Medical Workers at the Fever Clinic of a Tertiary General Hospital in Beijing: A Cross-Sectional Study,34.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566244
" Even though this research is limited by its cross-sectional design, it is possible to infer that mental health varies by demographic attributes, obligations and health behaviours. Those who report higher distress must work outside during quarantine, live with an elderly person and carry a risk factor for COVID-19, among other factors. Identifying those who are most vulnerable would help to prioritize those who may need the greatest psychological aid and assist public health practitioners in developing support strategies.",2020-04-14,11.0,445.0,40.45454545454545,36.0,The Relationship Between Behavioural and Psychosocial Factors Among Brazilians in Quarantine Due to COVID-19,81.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566245
" Compared with NCR, bNC has the potential to be used for early risk stratification in patients with COVID19 infection. The relationship between bNC and mortality was U-shaped. The safe range of bNC was 1.64 to 4.0 ×10 9  /L. Identifying the correlation may be helpful for early risk stratification and medical decision making.",2020-04-14,11.0,197.0,17.90909090909091,45.0,U-Shaped Association Between Baseline Neutrophil Count (bNC) And COVID-19-Related Mortality: A Retrospective Cohort Study in Chinese Patient Diagnosed with COVID-19 Infection,19.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566254
" This disease knows no boundaries and spreads strikingly fast. Evidences indicate that the number of cases and deaths could grow exponentially for the coming weeks if not months. The CFR is high even for countries having high HAQ Index as countries having the finest health such as USA and Italy are struggling to contain the pandemic. On contrary, evidence from China indicates that quarantine, lockdowns and travel restrictions helped China to contain the pandemic in few months’ time, thus countries having low HAQ Index should well prepared to limit the movement of its citizens.",2020-04-14,11.0,315.0,28.636363636363637,27.0,COVID-19: A Systematic Analysis of the Evidences,48.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569832
" To slow down the spread of COVID-19 in the community, multidimensional measures including early identification and quarantined with appropriate supported infrastructure (including testing tools and hospital beds) to limit its spread in the community were needed.     ",2020-04-14,11.0,257.0,23.363636363636363,24.0,Effectiveness of Multidimensional Measures to Stop the Spread of Coronavirus Disease (COVID-19): Wuhan's Experience,36.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569833
 Results of the present study indicate no adverse outcome of COVID-19 in patients prescribed with ARBs or ACE inhibitors. These results support the sustained use of ARBs and ACE inhibitors in SARS-CoV-2 infection.,2020-04-14,11.0,295.0,26.818181818181817,35.0,Association of Angiotensin II Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors on COVID-19-Related Outcome,35.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569837
" NLR as inflammatory markers with rapid, convenient characteristics, NLR≥2.22 could be utilized as a predicting indicator for the early recognition COVID-19 and facilitate detection timely; meanwhile, NLR≥4.06 and lymphocytes≤0.765 were as predicting indicator for severe COVID-19 and can facilitate to further prevent worse progress of clinical course. In addition, cough, shortness of breath, abnormal chest radiological findings were also associated with worse outcome.",2020-04-14,11.0,261.0,23.727272727272727,14.0,Predictive Value of the Neutrophil-to-Lymphocyte Ratio(NLR) for Diagnosis and Worse Clinical Course of the COVID-19: Findings from Ten Provinces in China,32.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569838
" Lifting containment in a single step without implementing systematic screening resulted in similar number of deaths (130 per 100,000) than doing nothing. In this scenario, intensive care units were overrun and most patients did not have access to mechanical ventilation. Adding screening only marginally decrease total mortality (128 per 100,000). Lifting containment in two (&lt;65, &gt;= 65) or three steps (&lt;41,41-64,&gt;= 65), as well as adding testing to later resulted in significant decrease in mortality (15.5 to 13.3 per 100,000). The availability of a new effective treatment only marginally reduce mortality in the one-step strategy as most patients would not have access to it.",2020-04-14,11.0,399.0,36.27272727272727,30.0,Should We Quickly Get Out of Confinement to Face COVID-19 Pandemic? Estimating the Medical Outcomes of Different Public Health Strategies Using a Robust Microsimulation Agent-Based Model,91.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569844
" The analyses demonstrated the importance of societal and social psychological factors in the spread of the COVID-19 epidemic. By considering multiple perspectives, our study showed that country differences in Europe are major and this will have an impact on how countries will cope with the ongoing crisis in the following months. The results underline the role of high institutional trust which is important when health authorities and governments are instructing people to keep distance from each other. Our results indicate the importance of timely restrictions and cooperation with people. Without institutional trust it is very difficult to regulate epidemics such as COVID-19 in European democratic societies.",2020-04-14,11.0,330.0,30.0,30.0,Regulation and Trust: A Social Science Perspective on COVID-19 Mortality,64.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569845
" No difference in major symptoms was observed between dying and discharged patients, whereas variations in vital signs and results of laboratory tests were observed. Among these indicators, NLR, albumin, lactate dehydrogenase, urea nitrogen, and D-dimer show greater differences and have better regression coefficients (β) when using hierarchical comparisons in a multivariate logistic regression model. Predictors of mortality based on better regression coefficients (β) included NLR (OR=31.2, 95% CI 6.7–144.5, p&lt;0.0001), albumin (OR=0.0, 95% CI 0.0–0.2, p&lt;0.0001), lactate dehydrogenase (OR=73.4, 95% CI 11.8–456.8, p&lt;0.0001), urea nitrogen (OR=12.0, 95% CI 3.0–48.4, p=0.0005), and D-dimer (OR=13.6, 95% CI 3.4–54.9, p=0.0003). According to the above indicators, a predictive NLAUD score was calculated on the basis of a multivariate logistic regression model to predict mortality. This model showed a sensitivity of 0.889, specificity of 0.984, and a better predictive ability than CURB-65 (AUROC = 0.955 vs. 0.703, p &lt; 0.001).",2020-04-14,11.0,262.0,23.818181818181817,27.0,Clinical Features Predicting Mortality Risk in Older Patients with COVID-19,44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569846
" The developed model is not only an important tool to predict the disease spread, but also gives some significant clues about the main factors that affect to the COVID-19 spread, and quantifies the effects of partial and total lockdowns as well.",2020-04-14,11.0,378.0,34.36363636363637,24.0,"An Efficient COVID-19 Prediction Model Validated with the Cases of China, Italy, and Spain: Total or Partial Lockdowns?",98.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569848
" FBG is a representative of the clustered indicators of multi-organ injury and the earliest predictor for poor outcomes and death in COVID patients. As it is easy to perform for clinical practices and self-monitoring, FBG testing will be much helpful for predicting critical condition to facilitate appropriate intensive care.",2020-04-14,11.0,244.0,22.181818181818183,26.0,"Blood Glucose Is a Representative of the Clustered Indicators of Multi-Organ Injury for Predicting Mortality of COVID-19 in Wuhan, China",31.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569852
" Cardiovascular risk factors appear to be common among patients with COVID-19 and are associated with a higher risk for a complicated course. Cardiac complications and post discharge outcomes are seldom reported, indicating a need for better reporting and monitoring of adverse cardiac events among COVID-19 hospitalizations. These data may be biased with selective reporting, underscoring the need for further studies.   ",2020-04-14,11.0,285.0,25.90909090909091,49.0,Cardiovascular Risk Factors and Complications in Patients Infected with COVID-19: A Systematic Review,53.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569855
