Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
66,5.0,0.0914,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," Children have lower susceptibility of SARS-CoV-2 infection, milder clinical symptoms, longer incubation and fecal viral excretion time. Antiviral treatment did not improve the symptoms or shorten the time of viral excretion. Positive results of fecal SARS-CoV-2RNA detection were not used as indication for hospitalization or quarantine."
67,49.0,0.0675,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing"," Our results revealed that government interventions with stringent regulations at an early stage had strong positive effect on controlling disease spread and decreasing fatality caused by COVID-19. Narrowed outbreak-phase duration might be an essential target for epidemic disease control. Thus, strict measures should be quickly implemented at early stage, especially in countries at potential risk of outbreak."
68,48.0,0.0897,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition", This study utilized the machine learning algorithms to detect the COVID-19 severely ill patients from those with only mild symptoms. Our experimental data demonstrated strong correlations with the COVID-19 severeness. The 28 biomarkers may also be investigated for their underlining mechanisms of their roles in the COVID-19 severely ill patients.
69,56.0,0.0736,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," We found that PT, AST, IV, SpO2 and ICU stay were the independent risk factors for HAI for the severe COVID-19 patients. The monitoring and prevention methods targeting these factors of HAI should be developed to control the occurrence of nosocomial infection and to reduce the hospitalization time and costs."
70,18.0,0.0547,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe"," Whilst SARS-CoV-2 can cause mild disease in children, the data available to date suggests that children have not played a substantive role in the intra-household transmission of SARS-CoV-2."
71,14.0,0.0294,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," In patients with COVID-19, the age distribution could affect both the clinical and CT features in significant measure. Taking consideration of the age influence could facilitate the hierarchical diagnosis and treatment of COVID-19 patients. "
72,0.0,0.0493,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base"," After adjusting for potential confounding factors, we found a non-linear relationship and threshold saturation effect between PLC and mortality risk in COVID-19 patients (infection point of PLC: 0.95×109/L). Multiple regression analysis showed that when PLCs of COVID-19 patients were lower than 0.95×109/L, the patients had a significantly higher mortality risk as compared to COVID-19 patient with PLCs &gt; 0.95×109/L (OR, 7.27; 95% CI, 1.10-48.25). The predictive power of PLC for death in COVID-19 patients (presented as area under the curve) was 0.78. The decision curve analysis showed that PLC had clinical utility for the prediction of death in COVID-19 patients."
73,52.0,0.1124,"covid, clinical, outcome, characteristic, pregnant_woman, sar, great, bad, mer, maternal"," Fever and cough are the most common symptoms of COVID-19, SARS, and MERS infected patients. Thrombocytosis in COVID-19 patients was more than twice as frequent as in SARS, and MERS confirmed cases. At the time of submission, the mortality rate in COVID-19 confirmed cases is lower than SARS and MERS infected patients. Clinical outcomes and findings would be biased by reporting only confirmed cases, and it should be considered when interpreting the data."
74,19.0,0.0592,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," Males, patients with older age, comorbidities, or higher neutrophil counts, and lower lymphocyte counts tended to develop critical illness. Level of CD3 + , CD4 + , D-dimer, lactate dehydrogenase and creatinine, and prothrombin time were newly identified indicators for critical illness for COVID-19."
75,66.0,0.0405,"suggest, finding, change, lack, minimize, injury, carrier, negative, physician, establishment"," Physicians from all specialties may die from COVID, and these deaths may be underreported especially in countries with limited press freedom.  Lack of personal protective equipment was cited as a common cause of death.  Consideration should be made to exclude older physicians from front-line work."
76,2.0,0.0393,"covid, role, play, study, situation, linear, case, utilize, youtube, distribution","  With good safety and feasibility, pulmonary rehabilitation intervention can bring benefits in the treatment of patients with severe or critically severe COVID-19 pneumonia."
77,62.0,0.0441,"provide, protection, effectively, hospital, personal, importance, experience, add, quality, key", Adequate protections and interventions for the people≥50 years old having comorbidities should be implemented urgently to reduce the risk of death associated with COVID-19.  
78,72.0,0.0938,"case, confirm, suspect, newly, correlate, moderate, estimation, clinically, lag, step"," The proportion of asymptomatic and mild infections account for almost half of the confirmed cases among close contacts. The household contacts were the main transmission mode, and clinically more severe cases were more likely to pass the infection to their close contacts. Generally, the secondary cases were clinically milder than those of source cases."
